Algorithm,Solution Cost,Solution Length,Expanded Nodes,Size,Time,epsilon
eGFBS,214,215,527,88,0.027979851,0.3
,,,,,,
eGFBS,218,219,654,88,0.048095942,0.4
,,,,,,
eGFBS,218,219,664,88,0.062161207,0.5
,,,,,,
eGFBS,210,211,734,88,0.114020824,0.6
,,,,,,
eGFBS,212,213,800,88,0.215537548,0.7
,,,,,,
eGFBS,208,203,904,88,0.320371866,0.8
,,,,,,
GBFS,216,217,344,96,0.006974936,0
,,,,,,
eGFBS,210,211,374,96,0.009112597,0.1
,,,,,,
eGFBS,218,213,391,96,0.013029099,0.2
,,,,,,
eGFBS,222,217,407,96,0.014345884,0.3
,,,,,,
eGFBS,238,227,586,96,0.03395772,0.4
,,,,,,
eGFBS,238,227,640,96,0.045840025,0.5
,,,,,,
eGFBS,210,211,586,96,0.064212084,0.6
,,,,,,
eGFBS,236,231,781,96,0.136865377,0.7
,,,,,,
eGFBS,230,225,847,96,0.276173592,0.8
,,,,,,
eGFBS,220,215,358,96,0.009965181,0.1
,,,,,,
eGFBS,216,217,418,96,0.012465,0.2
,,,,,,
eGFBS,222,217,394,96,0.014970779,0.3
,,,,,,
eGFBS,250,239,698,96,0.047207355,0.4
,,,,,,
eGFBS,220,215,459,96,0.025302887,0.5
,,,,,,
eGFBS,222,217,506,96,0.038859367,0.6
,,,,,,
eGFBS,224,219,571,96,0.069625139,0.7
,,,,,,
eGFBS,222,217,638,96,0.173945904,0.8
,,,,,,
eGFBS,216,217,376,96,0.013604879,0.1
,,,,,,
eGFBS,220,215,388,96,0.018714428,0.2
,,,,,,
eGFBS,222,217,393,96,0.023193836,0.3
,,,,,,
eGFBS,222,217,437,96,0.039507866,0.4
,,,,,,
eGFBS,220,215,484,96,0.043156624,0.5
,,,,,,
eGFBS,238,227,706,96,0.087907314,0.6
,,,,,,
eGFBS,210,211,509,96,0.060041666,0.7
,,,,,,
eGFBS,226,227,870,96,0.28572464,0.8
,,,,,,
eGFBS,248,237,510,96,0.015123129,0.1
,,,,,,
eGFBS,220,215,446,96,0.012967348,0.2
,,,,,,
eGFBS,238,227,535,96,0.029896975,0.3
,,,,,,
eGFBS,222,217,407,96,0.018934965,0.4
,,,,,,
eGFBS,218,213,653,96,0.052213907,0.5
,,,,,,
eGFBS,222,217,552,96,0.045838594,0.6
,,,,,,
eGFBS,212,213,577,96,0.074748039,0.7
,,,,,,
eGFBS,220,215,655,96,0.158435583,0.8
,,,,,,
eGFBS,216,217,374,96,0.010960817,0.1
,,,,,,
eGFBS,222,217,397,96,0.010947466,0.2
,,,,,,
eGFBS,220,215,428,96,0.01796031,0.3
,,,,,,
eGFBS,224,219,653,96,0.045860291,0.4
,,,,,,
eGFBS,214,215,482,96,0.030891418,0.5
,,,,,,
eGFBS,206,207,734,96,0.088693857,0.6
,,,,,,
eGFBS,222,217,551,96,0.076315165,0.7
,,,,,,
eGFBS,222,217,618,96,0.146959305,0.8
,,,,,,
eGFBS,222,217,363,96,0.017919064,0.1
,,,,,,
eGFBS,222,217,390,96,0.01700592,0.2
,,,,,,
eGFBS,210,211,388,96,0.016941786,0.3
,,,,,,
eGFBS,224,213,593,96,0.033885241,0.4
,,,,,,
eGFBS,232,227,606,96,0.051723957,0.5
,,,,,,
eGFBS,216,205,665,96,0.076743364,0.6
,,,,,,
eGFBS,224,219,515,96,0.075743914,0.7
,,,,,,
eGFBS,224,225,944,96,0.314484835,0.8
,,,,,,
eGFBS,216,217,377,96,0.009964466,0.1
,,,,,,
eGFBS,206,207,353,96,0.011961699,0.2
,,,,,,
eGFBS,220,215,412,96,0.01494813,0.3
,,,,,,
eGFBS,224,219,423,96,0.021925688,0.4
,,,,,,
eGFBS,212,213,480,96,0.037964344,0.5
,,,,,,
eGFBS,222,217,532,96,0.052574635,0.6
,,,,,,
eGFBS,238,227,736,96,0.132894993,0.7
,,,,,,
eGFBS,214,215,935,96,0.309804201,0.8
,,,,,,
eGFBS,222,217,363,96,0.007931709,0.1
,,,,,,
eGFBS,222,217,376,96,0.012995243,0.2
,,,,,,
eGFBS,222,217,382,96,0.014042139,0.3
,,,,,,
eGFBS,222,217,416,96,0.019022465,0.4
,,,,,,
eGFBS,236,225,619,96,0.04593873,0.5
,,,,,,
eGFBS,222,217,505,96,0.04523921,0.6
,,,,,,
eGFBS,222,217,565,96,0.073756933,0.7
,,,,,,
eGFBS,238,239,911,96,0.361821651,0.8
,,,,,,
eGFBS,220,215,358,96,0.008967638,0.1
,,,,,,
eGFBS,222,217,400,96,0.012955666,0.2
,,,,,,
eGFBS,222,217,433,96,0.014947653,0.3
,,,,,,
eGFBS,222,217,460,96,0.022922039,0.4
,,,,,,
eGFBS,220,215,612,96,0.049831629,0.5
,,,,,,
eGFBS,214,215,485,96,0.045181751,0.6
,,,,,,
eGFBS,222,217,546,96,0.064781666,0.7
,,,,,,
eGFBS,226,221,856,96,0.271949768,0.8
,,,,,,
eGFBS,210,211,346,96,0.008967638,0.1
,,,,,,
eGFBS,210,211,355,96,0.013036489,0.2
,,,,,,
eGFBS,220,215,422,96,0.016973734,0.3
,,,,,,
eGFBS,222,217,429,96,0.020996571,0.4
,,,,,,
eGFBS,238,227,622,96,0.048837662,0.5
,,,,,,
eGFBS,202,203,674,96,0.070451498,0.6
,,,,,,
eGFBS,234,223,727,96,0.121914148,0.7
,,,,,,
eGFBS,194,195,814,96,0.259251595,0.8
,,,,,,
GBFS,228,229,302,104,0.007971525,0
,,,,,,
eGFBS,228,229,326,104,0.009964943,0.1
,,,,,,
eGFBS,228,229,346,104,0.013947725,0.2
,,,,,,
eGFBS,248,243,797,104,0.077932358,0.3
,,,,,,
eGFBS,254,249,809,104,0.11519289,0.4
,,,,,,
eGFBS,232,221,486,104,0.056061745,0.5
,,,,,,
eGFBS,238,233,874,104,0.209710836,0.6
,,,,,,
eGFBS,246,241,1030,104,0.363463879,0.7
,,,,,,
eGFBS,244,233,1083,104,0.495596886,0.8
,,,,,,
eGFBS,228,229,322,104,0.016453028,0.1
,,,,,,
eGFBS,228,229,346,104,0.014356613,0.2
,,,,,,
eGFBS,228,229,364,104,0.01696372,0.3
,,,,,,
eGFBS,232,221,500,104,0.037164211,0.4
,,,,,,
eGFBS,238,233,807,104,0.137667656,0.5
,,,,,,
eGFBS,228,229,454,104,0.048794985,0.6
,,,,,,
eGFBS,238,233,906,104,0.232880592,0.7
,,,,,,
eGFBS,254,243,1107,104,0.624952316,0.8
,,,,,,
eGFBS,228,229,325,104,0.010962009,0.1
,,,,,,
eGFBS,228,229,353,104,0.013943434,0.2
,,,,,,
eGFBS,228,229,374,104,0.017929554,0.3
,,,,,,
eGFBS,228,229,394,104,0.021991014,0.4
,,,,,,
eGFBS,240,235,840,104,0.111627579,0.5
,,,,,,
eGFBS,246,241,919,104,0.199919701,0.6
,,,,,,
eGFBS,244,239,964,104,0.275606394,0.7
,,,,,,
eGFBS,238,233,1234,104,0.715324879,0.8
,,,,,,
eGFBS,228,229,330,104,0.010009766,0.1
,,,,,,
eGFBS,228,229,346,104,0.014009714,0.2
,,,,,,
eGFBS,226,227,386,104,0.019030809,0.3
,,,,,,
eGFBS,236,225,473,104,0.045922518,0.4
,,,,,,
eGFBS,228,229,427,104,0.053925753,0.5
,,,,,,
eGFBS,226,227,460,104,0.063107252,0.6
,,,,,,
eGFBS,250,239,926,104,0.357216597,0.7
,,,,,,
eGFBS,252,247,1191,104,0.741316557,0.8
,,,,,,
eGFBS,228,229,326,104,0.012015104,0.1
,,,,,,
eGFBS,234,223,415,104,0.019211531,0.2
,,,,,,
eGFBS,234,223,457,104,0.027924538,0.3
,,,,,,
eGFBS,242,237,896,104,0.104940414,0.4
,,,,,,
eGFBS,248,243,863,104,0.135380507,0.5
,,,,,,
eGFBS,240,235,951,104,0.205066442,0.6
,,,,,,
eGFBS,254,249,1190,104,0.440439939,0.7
,,,,,,
eGFBS,248,243,1208,104,0.646541834,0.8
,,,,,,
eGFBS,228,229,333,104,0.009973764,0.1
,,,,,,
